1.000000	1.000000	0.000000
0.980160	0.980199	0.002000
0.960713	0.960789	0.004000
0.941652	0.941765	0.006000
0.922970	0.923116	0.008000
0.904658	0.904837	0.010000
0.886709	0.886920	0.012000
0.869116	0.869358	0.014000
0.851873	0.852144	0.016000
0.834971	0.835270	0.018000
0.818405	0.818731	0.020000
0.802168	0.802519	0.022000
0.786253	0.786628	0.024000
0.770653	0.771052	0.026000
0.755363	0.755784	0.028000
0.740377	0.740818	0.030000
0.725687	0.726149	0.032000
0.711290	0.711770	0.034000
0.697177	0.697676	0.036000
0.683345	0.683861	0.038000
0.669787	0.670320	0.040000
0.656499	0.657047	0.042000
0.643474	0.644036	0.044000
0.630707	0.631284	0.046000
0.618193	0.618783	0.048000
0.605928	0.606531	0.050000
0.593907	0.594521	0.052000
0.582123	0.582748	0.054000
0.570574	0.571209	0.056000
0.559253	0.559898	0.058000
0.548158	0.548812	0.060000
0.537282	0.537944	0.062000
0.526622	0.527292	0.064000
0.516174	0.516851	0.066000
0.505933	0.506617	0.068000
0.495895	0.496585	0.070000
0.486056	0.486752	0.072000
0.476413	0.477114	0.074000
0.466961	0.467666	0.076000
0.457696	0.458406	0.078000
0.448615	0.449329	0.080000
0.439715	0.440432	0.082000
0.430990	0.431711	0.084000
0.422440	0.423162	0.086000
0.414058	0.414783	0.088000
0.405843	0.406570	0.090000
0.397791	0.398519	0.092000
0.389899	0.390628	0.094000
0.382163	0.382893	0.096000
0.374581	0.375311	0.098000
0.367149	0.367879	0.100000
0.359865	0.360595	0.102000
0.352725	0.353455	0.104000
0.345727	0.346456	0.106000
0.338867	0.339596	0.108000
0.332144	0.332871	0.110000
0.325554	0.326280	0.112000
0.319095	0.319819	0.114000
0.312764	0.313486	0.116000
0.306559	0.307279	0.118000
0.300477	0.301194	0.120000
0.294515	0.295230	0.122000
0.288672	0.289384	0.124000
0.282945	0.283654	0.126000
0.277331	0.278037	0.128000
0.271829	0.272532	0.130000
0.266435	0.267135	0.132000
0.261149	0.261846	0.134000
0.255968	0.256661	0.136000
0.250890	0.251579	0.138000
0.245912	0.246597	0.140000
0.241033	0.241714	0.142000
0.236251	0.236928	0.144000
0.231563	0.232236	0.146000
0.226969	0.227638	0.148000
0.222466	0.223130	0.150000
0.218052	0.218712	0.152000
0.213726	0.214381	0.154000
0.209486	0.210136	0.156000
0.205329	0.205975	0.158000
0.201256	0.201897	0.160000
0.197263	0.197899	0.162000
0.193349	0.193980	0.164000
0.189513	0.190139	0.166000
0.185753	0.186374	0.168000
0.182067	0.182684	0.170000
0.178455	0.179066	0.172000
0.174915	0.175520	0.174000
0.171444	0.172045	0.176000
0.168043	0.168638	0.178000
0.164709	0.165299	0.180000
0.161441	0.162026	0.182000
0.158238	0.158817	0.184000
0.155098	0.155673	0.186000
0.152021	0.152590	0.188000
0.149005	0.149569	0.190000
0.146049	0.146607	0.192000
0.143151	0.143704	0.194000
0.140311	0.140858	0.196000
0.137527	0.138069	0.198000
0.134798	0.135335	0.200000
0.132124	0.132655	0.202000
0.129503	0.130029	0.204000
0.126933	0.127454	0.206000
0.124415	0.124930	0.208000
0.121946	0.122456	0.210000
0.119527	0.120032	0.212000
0.117156	0.117655	0.214000
0.114831	0.115325	0.216000
0.112553	0.113042	0.218000
0.110320	0.110803	0.220000
0.108131	0.108609	0.222000
0.105986	0.106459	0.224000
0.103883	0.104351	0.226000
0.101822	0.102284	0.228000
0.099802	0.100259	0.230000
0.097822	0.098274	0.232000
0.095881	0.096328	0.234000
0.093978	0.094420	0.236000
0.092114	0.092551	0.238000
0.090286	0.090718	0.240000
0.088495	0.088922	0.242000
0.086739	0.087161	0.244000
0.085018	0.085435	0.246000
0.083332	0.083743	0.248000
0.081678	0.082085	0.250000
0.080058	0.080460	0.252000
0.078469	0.078866	0.254000
0.076912	0.077305	0.256000
0.075387	0.075774	0.258000
0.073891	0.074274	0.260000
0.072425	0.072803	0.262000
0.070988	0.071361	0.264000
0.069579	0.069948	0.266000
0.068199	0.068563	0.268000
0.066846	0.067206	0.270000
0.065520	0.065875	0.272000
0.064220	0.064570	0.274000
0.062946	0.063292	0.276000
0.061697	0.062039	0.278000
0.060473	0.060810	0.280000
0.059273	0.059606	0.282000
0.058097	0.058426	0.284000
0.056944	0.057269	0.286000
0.055814	0.056135	0.288000
0.054707	0.055023	0.290000
0.053622	0.053934	0.292000
0.052558	0.052866	0.294000
0.051515	0.051819	0.296000
0.050493	0.050793	0.298000
0.049491	0.049787	0.300000
0.048509	0.048801	0.302000
0.047547	0.047835	0.304000
0.046603	0.046888	0.306000
0.045679	0.045959	0.308000
0.044773	0.045049	0.310000
0.043884	0.044157	0.312000
0.043014	0.043283	0.314000
0.042160	0.042426	0.316000
0.041324	0.041586	0.318000
0.040504	0.040762	0.320000
0.039700	0.039955	0.322000
0.038913	0.039164	0.324000
0.038141	0.038388	0.326000
0.037384	0.037628	0.328000
0.036642	0.036883	0.330000
0.035915	0.036153	0.332000
0.035203	0.035437	0.334000
0.034504	0.034735	0.336000
0.033820	0.034048	0.338000
0.033149	0.033373	0.340000
0.032491	0.032712	0.342000
0.031846	0.032065	0.344000
0.031214	0.031430	0.346000
0.030595	0.030807	0.348000
0.029988	0.030197	0.350000
0.029393	0.029600	0.352000
0.028810	0.029013	0.354000
0.028238	0.028439	0.356000
0.027678	0.027876	0.358000
0.027129	0.027324	0.360000
0.026591	0.026783	0.362000
0.026063	0.026252	0.364000
0.025546	0.025733	0.366000
0.025039	0.025223	0.368000
0.024542	0.024724	0.370000
